Generic,Brand,Class,Adverse reactions,Mechanism
gabapentin enacarbil,Horizant,Central Nervous System Agent,"Nervous system disorders Somnolence/sedation Dizziness Headache Gastrointestinal disorders Nausea Dry mouth Flatulence General disorders and administration site conditions Fatigue Irritability Feeling drunk Feeling abnormal Peripheral edema Metabolism and nutritional disorders Weight increased Increased appetite Ear and labyrinth disorders Vertigo Psychiatric disorders Depression Libido decreased . Incidence of Adverse Reactions (in At Least of Patients Treated With 1,200 of HORIZANT and Numerically Greater Than the Rate) Reported in All Patients in the 12-Week PHN Study /Adverse Reaction HORIZANT 1,200 HORIZANT 2,400 HORIZANT 3,600 Nervous System Dizziness Somnolence Headache Gastrointestinal disorders Nausea General disorders and administration site conditions Fatigue/Asthenia Peripheral edema Psychiatric disorders Insomnia Metabolism and nutritional disorders Weight increased Eye disorders Blurred vision","Gabapentin enacarbil is a prodrug of gabapentin and, accordingly, its therapeutic effects in RLS and PHN are attributable to gabapentin. The precise mechanism by which gabapentin is efficacious in RLS and PHN is unknown."
galantamine,RAZADYNE,Cholinesterase Inhibitor,"Psychiatric Disorders Depression Nervous System Disorders Dizziness Headache Tremor Somnolence Syncope Lethargy Cardiac Disorders Bradycardia Gastrointestinal Disorders Nausea Vomiting Diarrhea Abdominal pain Abdominal discomfort Dyspepsia Musculoskeletal and Connective Tissue Disorders Muscle spasms General Disorders and Administration Site Conditions Fatigue Asthenia Malaise Investigations Decreased weight Injury, Poisoning and Procedural Complications Fall Laceration","Galantamine, a tertiary alkaloid, is a competitive and reversible inhibitor of acetylcholinesterase. While the precise mechanism of galantamine's action is unknown, it is postulated to exert its therapeutic effect by enhancing cholinergic function."
ghb,LUMRYZ; LUMRYZ 28-DAY STARTER,General anesthetic,Gastrointestinal Disorders Vomiting Nausea Investigations Weight Decreased Metabolism and Nutritional Disorders Decreased Appetite Nervous System Disorders Dizziness Somnolence Headache Psychiatric Disorders Enuresis Anxiety Somnambulism,The mechanism of action of LUMRYZ in the treatment of narcolepsy is unknown. LUMRYZ is a CNS depressant.
guanfacine,INTUNIV,Alpha-2 adrenergic agonist,"Cardiac Atrioventricular block General Asthenia, chest pain Immune System Disorders Hypersensitivity Investigations Increased alanine amino transferase Nervous system Convulsion Renal Increased urinary frequency Vascular Hypertension, pallor",Guanfacine is a central alpha 2A -adrenergic receptor agonist. The mechanism of action of guanfacine in ADHD is not known.
haloperidol,HALDOL,Typical antipsychotic,"Gastrointestinal Effects: Anorexia, constipation, diarrhea, hypersalivation, dyspepsia, nausea and vomiting. Autonomic Reactions: Dry mouth, blurred vision, urinary retention, diaphoresis and priapism. Respiratory Effects: Laryngospasm, bronchospasm and increased depth of respiration. Special Senses: Cataracts, retinopathy and visual disturbances. Post-marketing Events Hyperammonemia has been reported in a 5-1⁄2 year old child with citrullinemia, an inherited disorder of ammonia excretion, following treatment with haloperidol.","The mechanism of action of haloperidol for the treatment of schizophrenia is unclear. However, its efficacy could be mediated through its activity as an antagonist at central dopamine type 2 receptors."
haloperidol decanoate,Haldol,Typical antipsychotic,"Gastrointestinal Disorders Abdominal pain Nervous System Disorders Extrapyramidal disorder a Parkinsonism Oculogyric crisis Akinesia Akathisia Tremor Headache a Precise incidence for extrapyramidal disorder cannot be determined; reporting rates of some individual symptoms of extrapyramidal disorder are lower for haloperidol decanoate than for the active comparator, but the terms are included here because the events are considered associated with the drug.","The mechanism of action of haloperidol for the treatment of schizophrenia is unclear. However, its efficacy could be mediated through its activity as an antagonist at central dopamine type 2 receptors."
heroin,,Illicit psychoactive substance,,
hydroxyzine,VISTARIL,H1 antihistamine,"Skin and Appendages Oral hydroxyzine hydrochloride is associated with Acute Generalized Exanthematous Pustulosis (AGEP) and fixed drug eruptions in post-marketing reports. Anticholinergic Dry mouth. Central Nervous System Drowsiness is usually transitory and may disappear in a few days of continued therapy or upon reduction of the dose. Involuntary motor activity, including rare instances of tremor and convulsions, has been reported, usually with doses considerably higher than those recommended. Clinically significant respiratory depression has not been reported at recommended doses. Cardiac System QT prolongation, Torsade de Pointes. In post-marketing experience, the following additional undesirable effects have been reported: Body as a Whole Allergic reaction Nervous System Headache Psychiatric Hallucination Skin and Appendages Pruritus, rash, urticaria To report SUSPECTED ADVERSE REACTIONS, contact Sandoz Inc. at 1-800-525-8747 or FDA at 1-800-FDA-1088 or www.fda.gov/medwatch.","Hydroxyzine pamoate is unrelated chemically to the phenothiazines, reserpine, meprobamate, or the benzodiazepines. Hydroxyzine pamoate is not a cortical depressant, but its action may be due to a suppression of activity in certain key regions of the subcortical area of the central nervous system."
iloperidone,FANAPT,Atypical antipsychotic,"Musculoskeletal Stiffness Weight Increased Cardiac Disorders Tachycardia Eye Disorders Vision Blurred Gastrointestinal Disorders Nausea Dry Mouth Diarrhea Abdominal Discomfort Infections Nasopharyngitis Upper Respiratory Tract Infection Nervous System Disorders Dizziness Somnolence Extrapyramidal Disorder Tremor Lethargy Reproductive System Ejaculation Failure Respiratory Nasal Congestion Dyspnea Skin Rash Vascular Disorders Orthostatic Hypotension Hypotension The following terms were combined: Tachycardia includes: heart rate increased, sinus tachycardia, postural orthostatic tachycardia syndrome, and tachycardia Nausea includes: nausea and vomiting Hepatic enzyme increased includes: predominantly alanine aminotransferase increased and including aspartate aminotransferase increased, hepatic enzyme increased, and transaminase increased) Weight increased includes: weight increased and BMI increased. Dizziness includes: dizziness and postural dizziness Headache includes: Headache and Ten","The mechanism of action of iloperidone in schizophrenia and bipolar I disorder is unknown. Iloperidone forms an active metabolite, P88, that has an in vitro receptor binding profile similar to the parent drug."
imipramine,,Tricyclic Antidepressant,"Psychiatric: Confusional states (especially in the elderly) with hallucinations, disorientation, delusions; anxiety, restlessness, agitation; insomnia and nightmares; hypomania; exacerbation of psychosis. Neurological: Numbness, tingling, paresthesias of extremities; incoordination, ataxia, tremors; peripheral neuropathy; extrapyramidal symptoms; seizures, alterations in EEG patterns; tinnitus. Anticholinergic: Dry mouth, and, rarely, associated sublingual adenitis; blurred vision, disturbances of accommodation, mydriasis; constipation, paralytic ileus; urinary retention, delayed micturition, dilation of the urinary tract. Allergic: Skin rash, petechiae, urticaria, itching, photosensitization; edema (general or of face and tongue); drug fever; cross-sensitivity with desipramine. Hematologic: Bone marrow depression including agranulocytosis; eosinophilia; purpura; thrombocytopenia. Gastrointestinal: Nausea and vomiting, anorexia, epigastric distress, diarrhea; peculiar taste, stomatitis","The mechanism of action of imipramine hydrochloride, is not definitely known. However, it does not act primarily by stimulation of the central nervous system."
isocarboxazid,MARPLAN,Monoamine oxidase inhibitor,,
ketamine,KETALAR; Ketaset,General Anesthetic,"Respiratory Depression Pediatric Neurotoxicity Drug-Induced Liver Injury The following adverse reactions associated with the use of ketamine hydrochloride injection were identified in clinical studies or postmarketing reports. Because some of these reactions were reported voluntarily from a population of uncertain size, it is not always possible to reliably estimate their frequency or establish a causal relationship to drug exposure. Cardiovascular disorders: Elevated blood pressure, heart rate, and cardiac index; decreases in blood pressure and heart rate; arrhythmias; cardiac decompensation (in patients with suspected catecholamine depletion). Eye disorders: Diplopia, nystagmus, elevation in intraocular pressure. Gastrointestinal disorders: Anorexia, nausea, vomiting, hepatobiliary dysfunction. Biliary duct dilatation with or without evidence of biliary obstruction has been reported with recurrent use (e.g., misuse/abuse or medically supervised unapproved indications). Administration","Ketamine hydrochloride injection, a racemic mixture of ketamine, is a non-selective, non-competitive antagonist of the N-methyl-D-aspartate (NMDA) receptor, an ionotropic glutamate receptor. The major circulating metabolite of ketamine (norketamine) demonstrated activity at the same receptor with less affinity."
lacosamide,MOTPOLY; VIMPAT,Other antiepileptics,Eye disorders Diplopia Blurred Vision Gastrointestinal disorders Nausea Dry mouth Vomiting Oral Paresthesia Oral Hypoesthesia Diarrhea General disorders/administration site conditions Fatigue Gait disturbance Chest pain Nervous system disorders Dizziness Somnolence Headache Paresthesia Tremor Abnormal Coordination Skin & subcutaneous tissue disorders Pruritus Hyperhidrosis,"The precise mechanism by which lacosamide exerts its antiepileptic effects in humans remains to be fully elucidated. In vitro electrophysiological studies have shown that lacosamide selectively enhances slow inactivation of voltage-gated sodium channels, resulting in stabilization of hyperexcitable neuronal membranes and inhibition of repetitive neuronal firing."
lamotrigine,LAMICTAL; LAMICTAL BLUE (FOR PATIENTS TAKING VALPROATE),Mood Stabilizer,"Musculoskeletal Arthralgia Nervous Dizziness Ataxia Somnolence Incoordination Insomnia Tremor Depression Anxiety Convulsion Irritability Speech disorder Concentration disturbance Respiratory Rhinitis Pharyngitis Cough increased Skin and appendages Rash Pruritus Special senses Diplopia Blurred vision Vision abnormality Urogenital Female patients only Dysmenorrhea Vaginitis Amenorrhea Percent of Patients Experiencing Adverse Reactions Adverse Reaction Lamotrigine Lamotrigine Ataxia Blurred vision Diplopia Dizziness Nausea Vomiting a a,b a,b a,b a,b a a / Adverse Reaction Percent of Patients Receiving Lamotrigine c as Monotherapy Percent of Patients Receiving Low-Dose Valproate d Monotherapy Body as a whole Pain Infection Chest pain Digestive Vomiting Dyspepsia Nausea Metabolic and nutritional Weight decrease Nervous Coordination abnormality Dizziness Anxiety Insomnia Respiratory Rhinitis Urogenital (female patients only) Dysmenorrhea / Adverse Reaction Percent of Patients Receiving Lamot",The precise mechanism(s) by which lamotrigine exerts its anticonvulsant action are unknown. Lamotrigine also displayed inhibitory properties in the kindling model in rats both during kindling development and in the fully kindled state.
lemborexant,DAYVIGO,Orexin Receptor Antagonist,Reported in ≥ of DAYVIGO-Treated Patients and at a Greater Frequency than -Treated Patients During the First D ays of Study and Study DAYVIGO Somnolence or fatigue Headache Nightmare or abnormal dreams,The mechanism of action of lemborexant in the treatment of insomnia is presumed to be through antagonism of orexin receptors. Blocking the binding of wake-promoting neuropeptides orexin A and orexin B to receptors OX1R and OX2R is thought to suppress wake drive.
levetiracetam,ELEPSIA; KEPPRA,Other antiepileptics,in Adults Experiencing Partial-Onset Seizures Levetiracetam Asthenia Somnolence Headache Infection Dizziness Pain Pharyngitis Depression Nervousness Rhinitis Anorexia Ataxia Vertigo Amnesia Anxiety Cough Increased Diplopia Emotional Lability Hostility Paresthesia Sinusitis Adverse Reactions that Resulted in Discontinuation or Dose Reduction in -Controlled Studies in Adult Patients Experiencing Partial-Onset Seizures Adverse Reaction Levetiracetam Somnolence Dizziness Adverse Reactions in Pediatric Patients Ages to Years Experiencing Partial-Onset Seizures Levetiracetam Headache Nasopharyngitis Vomiting Somnolence Fatigue Aggression Cough Nasal Congestion Upper Abdominal Pain Decreased Appetite Abnormal Behavior Dizziness Irritability Pharyngolaryngeal Pain Diarrhea Lethargy Insomnia Agitation Anorexia Head Injury Altered Mood Constipation Contusion Depression Fall Influenza Affect Lability Anxiety Arthralgia Confusional State Conjunctivitis Ear Pain Gastroenteritis Jo,The precise mechanism(s) by which levetiracetam exerts its antiepileptic effect is unknown. A saturable and stereoselective neuronal binding site in rat brain tissue has been described for levetiracetam.
levodopa,CREXONT; DHIVY,Dopamine precursor,"Respiratory, thoracic and mediastinal disorders Cough Sputum discolored Nasal discharge discoloration Oropharyngeal pain Gastrointestinal disorders Nausea Vomiting Infections and infestations Upper respiratory tract infection Nasopharyngitis Bronchitis/pneumonia Nervous system disorders Dyskinesia Headache Injury, poisoning and procedural complications Fall Laceration Skin abrasion General disorders and administration site conditions Chest discomfort Investigations Blood bilirubin increased Red blood cell count decreased Musculoskeletal and connective tissue disorders Pain in extremity Psychiatric disorders Insomnia Vascular disorders Orthostatic hypotension/blood pressure decreased","This is thought to be the mechanism whereby levodopa relieves symptoms of Parkinson's disease. Levodopa, the metabolic precursor of dopamine, crosses the blood-brain barrier and presumably is converted to dopamine in the brain."
levomilnacipran,FETZIMA; FETZIMA TITRATION SAMPLE,Selective serotonin reuptake inhibitor,"Gastrointestinal disorders Nausea Constipation Vomiting Cardiac disorders Tachycardia a Palpitations Reproductive system and breast disorders b Erectile dysfunction c Testicular pain d Ejaculation disorder e Investigations Heart rate increased f Blood pressure increased g Renal and urinary disorders Urinary hesitation Skin and s ubcutaneous t issue d isorders Hyperhidrosis Rash h Vascular disorders Hot flush Hypotension i Hypertension j Metabolism and nutrition disorders Decreased appetite a Tachycardia also includes: sinus tachycardia and postural orthostatic tachycardia syndrome b Percentage is relative to the number of patients in the associated demographic sex category. Fewer than of FETZIMA-treated MDD female patients in -controlled clinical studies reported adverse events related to sexual function. c Erectile dysfunction includes: erectile dysfunction, organic erectile dysfunction, and psychogenic erectile dysfunction d Testicular pain includes: testicular pain, epididymitis, an","The exact mechanism of the antidepressant action of levomilnacipran is unknown, but is thought to be related to the potentiation of serotonin and norepinephrine in the central nervous system, through inhibition of reuptake at serotonin and norepinephrine transporters. Non"
lisdexamfetamine,ARYNTA; VYVANSE,Central Nervous System Stimulant,Reported by or More of Pediatric Patients Ages to Years with ADHD Taking Lisdexamfetamine Dimesylate and Greater than or Equal to Twice the Incidence in Patients Taking in a 4-Week Clinical Trial (Study Lisdexamfetamine Dimesylate Decreased Appetite Insomnia Abdominal Pain Upper Irritability Vomiting Weight Decreased Nausea Dry Mouth Dizziness Affect lability Rash Pyrexia Somnolence Tic Anorexia Adverse Reactions Reported by or More of Pediatric Patients Ages to Years with ADHD Taking Lisdexamfetamine Dimesylate and Greater than or Equal to Twice the Incidence in Patients Taking in a 4-Week Clinical Trial (Study Lisdexamfetamine Dimesylate Decreased Appetite Insomnia Weight Decreased Dry Mouth Palpitations Anorexia Tremor Adverse Reactions Reported by or More of Adult Patients with ADHD Taking Lisdexamfetamine Dimesylate and Greater than or Equal to Twice the Incidence in Patients Taking in a 4-Week Clinical Trial (Study Lisdexamfetamine Dimesylate Decreased Appetite,Lisdexamfetamine is a prodrug of dextroamphetamine. Amphetamines are non-catecholamine sympathomimetic amines with CNS stimulant activity.
lithium,,Antimanic Agent,Gastrointestinal Disorders Nausea/vomiting General Disorders Fatigue Genitourinary Disorders Polyuria (Including Enuresis) Investigations Increased TSH Metabolism and nutrition disorders Thirst/polydipsia Decreased appetite Nervous system disorders Ataxia/gait disturbance Blurry vision Disorientation Dizziness Tremor Skin and subcutaneous tissue disorders Rash/dermatitis,The mechanism of action of lithium as a mood stabilizing agent is unknown. 12.3
lorazepam,ATIVAN; LOREEV,Benzodiazepine,"Mostadversereactions to benzodiazepines,includingCNSeffectsandrespiratorydepression,aredose dependent,withmoresevereeffectsoccurringwithhighdoses. In a sample of about3500patientstreated for anxiety, the mostfrequentadversereaction to lorazepam wassedation ,followedbydizziness ,weakness ,andunsteadiness . The incidence of sedationandunsteadinessincreasedwithage. Otheradversereactions to benzodiazepines,includinglorazepam arefatigue,drowsiness,amnesia,memoryimpairment,confusion,disorientation,depression,unmasking of depression,disinhibition,euphoria,suicidalideation/attempt,ataxia,asthenia,extrapyramidalsymptoms,convulsions/seizures,tremor,vertigo,eyefunction/visualdisturbance(includingdiplopiaandblurredvision),dysarthria/slurred speech,change in libido,impotence,decreasedorgasm;headache,coma;respiratorydepression,apnea,worsening of sleepapnea,worsening of obstructivepulmonarydisease;gastrointestinalsymptoms includingnausea,change in appetite,constipation,jaundice,increase in bilirubin,",Studies in healthyvolunteersshowthat in singlehighdoseslorazepam has a tranquilizingaction on the centralnervoussystemwith no appreciableeffect on the respiratory or cardiovascularsystems. Lorazepam is readilyabsorbedwithanabsolutebioavailability of 90%.Peakconcentrations in plasmaoccurapproximately 2 hoursfollowingadministration.
lormetazepam,,Benzodiazepine,,
loxapine,ADASUVE,Other antipsychotic,"nervous system, other than extrapyramidal effects, have been seen infrequently. Drowsiness, usually mild, may occur at the beginning of therapy or when dosage is increased. It usually subsides with continued loxapine therapy. The incidence of sedation has been less than that of certain aliphatic phenothiazines and slightly more than the piperazine phenothiazines. Dizziness, faintness, staggering gait, shuffling gait, muscle twitching, weakness, insomnia, agitation, tension, seizures, akinesia, slurred speech, numbness, and confusional states have been reported. Neuroleptic malignant syndrome (NMS) has been reported (see WARNINGS ). Extrapyramidal Symptoms - Neuromuscular (extrapyramidal) reactions during the administration of loxapine have been reported frequently, often during the first few days of treatment. In most patients, these reactions involved parkinsonian-like symptoms such as tremor, rigidity, excessive salivation, and masked facies. Akathisia (motor restlessness) also has b","However, changes in the level of excitability of subcortical inhibitory areas have been observed in several animal species in association with such manifestations of tranquilization as calming effects and suppression of aggressive behavior. Pharmacologically, loxapine is an antipsychotic for which the exact mode of action has not been established."
lumateperone,CAPLYTA,Atypical antipsychotic,respiratory tract infection Adverse Reactions Reported in ≥2% of CAPLYTA-Treated Patients and that Occurred at Greater Incidence than in the -Treated Patients in a 6-Week Adjunctive Therapy Bipolar Depression Trial CAPLYTA + lithium or valproate + lithium or valproate Somnolence/Sedation Dizziness Nausea Dry mouth Vomiting Diarrhea Upper respiratory tract infection Blurred vision Increased blood prolactin Adverse Reactions Reported in ≥2% of Patients Treated with CAPLYTA + Background ADT and at Greater Incidence than in Patients Treated with + Background ADT CAPLYTA + ADT + ADT Headache Dizziness Dry Mouth Somnolence/Sedation Nausea Fatigue Diarrhea Tremor Vomiting Vertigo Insomnia,"The mechanism of action of lumateperone for the treatment of schizophrenia in adults, for the treatment of depressive episodes associated with bipolar depression (as monotherapy or as adjunctive therapy with lithium or valproate), and as adjunctive therapy with antidepressants for the treatment of MDD is unknown. However, the mechanism of action of lumateperone for these uses could be mediated through a combination of antagonist activity at central serotonin 5-HT 2A receptors, and partial agonist activity at central dopamine D 2 receptors."
lurasidone,LATUDA,Atypical antipsychotic,"investigations. Adverse experiences were recorded by clinical investigators using their own terminology. In order to provide a meaningful estimate of the proportion of individuals experiencing adverse events, events were grouped in standardized categories using MedDRA terminology. Schizophrenia The following findings are based on the short-term, -controlled premarketing adult studies for schizophrenia in which lurasidone hydrochloride tablets were administered at daily doses ranging from to . Commonly Observed Adverse Reactions: The most common adverse reactions (incidence ≥ and at least twice the rate of in patients treated with lurasidone hydrochloride were somnolence, akathisia, extrapyramidal symptoms, and nausea. Adverse Reactions Associated with Discontinuation of Treatment: A total of (143/1508) lurasidone hydrochloride-treated patients and (66/708) of -treated patients discontinued due to adverse reactions. There were no adverse reactions associated with discontinuation in subj","The mechanism of action of lurasidone in the treatment of schizophrenia and bipolar depression is unclear. However, its efficacy in schizophrenia and bipolar depression could be mediated through a combination of central dopamine D 2 and serotonin Type 2 (5HT 2A ) receptor antagonism."
lysergic acid diethylamide (lsd),CAFERGOT; ERGOMAR,Illicit psychoactive substance,"Gastrointestinal: Nausea and vomiting. Neurological: paresthesias, numbness, weakness, and vertigo. Allergic: Localized edema and itching. Fibrotic Complications: See WARNINGS ).","Pharmacokinetics: Interactions Pharmacokinetic interactions (increased blood levels of ergotamine) have been reported in patients treated orally with ergotamine and macrolide antibiotics (e.g., troleandomycin, clarithromycin, erythromycin), and in patients treated orally with ergotamine and protease inhibitors (e.g., ritonavir) presumably due to inhibition of cytochrome P450 3A metabolism of ergotamine ( See CONTRAINDICATIONS ). Ergotamine has also been shown to be an inhibitor of cytochrome P450 3A catalyzed reactions."
meclizine,ANTIVERT; BONINE,Antiemetic,"The following adverse reactions associated with the use of meclizine hydrochloride were identified in clinical studies or postmarketing reports. Because some of these reactions were reported voluntarily from a population of uncertain size, it is not always possible to reliably estimate their frequency or establish a causal relationship to drug exposure. Anaphylactic reaction, drowsiness, dry mouth, headache, fatigue, and vomiting. On rare occasions blurred vision has been reported. Common adverse reactions are anaphylactic reaction, drowsiness, dry mouth, headache, fatigue, and vomiting. On rare occasions blurred vision has been reported . To report SUSPECTED ADVERSE REACTIONS, contact Rising Pharma Holdings, Inc. at 1-844-874-7464 or FDA at 1-800-FDA-1088 or www.fda.gov/medwatch.",The precise mechanism by which meclizine exerts its therapeutic effect is unknown but is presumed to involve antagonism of the histamine H1 receptor. 12.2
memantine,NAMENDA; NAMZARIC,NMDA Receptor Antagonists,"Gastrointestinal Disorders Diarrhea Constipation Abdominal pain Vomiting Infections and Infestations Influenza Investigations Weight, increased Musculoskeletal and Connective Tissue Disorders Back pain Nervous System Disorders Headache Dizziness Somnolence Psychiatric Disorders Anxiety Depression Aggression Renal and Urinary Disorders Urinary incontinence Vascular Disorders Hypertension Hypotension",Persistent activation of central nervous system N-methyl-D-aspartate (NMDA) receptors by the excitatory amino acid glutamate has been hypothesized to contribute to the symptomatology of Alzheimer's disease. Memantine is postulated to exert its therapeutic effect through its action as a low to moderate affinity uncompetitive (open-channel) NMDA receptor antagonist which binds preferentially to the NMDA receptor-operated cation channels.
mephenytoin,,Hydantoin anticonvulsant,,
mescaline,KETALAR; Ketaset,General Anesthetic,"Respiratory Depression Pediatric Neurotoxicity Drug-Induced Liver Injury The following adverse reactions associated with the use of KETALAR were identified in clinical studies or postmarketing reports. Because some of these reactions were reported voluntarily from a population of uncertain size, it is not always possible to reliably estimate their frequency or establish a causal relationship to drug exposure. Cardiovascular disorders Elevated blood pressure, heart rate, and cardiac index; decreases in blood pressure and heart rate; arrhythmias; cardiac decompensation (in patients with suspected catecholamine depletion). Eye disorders Diplopia, nystagmus, elevation in intraocular pressure. Gastrointestinal disorders Anorexia, nausea, vomiting, hepatobiliary dysfunction. Biliary duct dilatation and/or biliary duct stricture and/or stenosis with or without evidence of biliary obstruction and secondary sclerosing cholangitis has been reported with recurrent use (e.g., misuse/abuse or medic","KETALAR, a racemic mixture of ketamine, is a non-selective, non-competitive antagonist of the N-methyl-D-aspartate (NMDA) receptor, an ionotropic glutamate receptor. The major circulating metabolite of ketamine (norketamine) demonstrated activity at the same receptor with less affinity."
methadone,DISKETS; DOLOPHINE,Opioid use disorder agent,"Respiratory Depression (see WARNINGS • QT Prolongation (see WARNINGS • Neonatal Opioid Withdrawal Syndrome (see WARNINGS • Interactions with CNS Depressants (see WARNINGS • Serotonin Syndrome (see WARNINGS • Adrenal Insufficiency (see WARNINGS • Severe Hypotension (see WARNINGS • Gastrointestinal Adverse Reactions (see WARNINGS • Seizures (see WARNINGS • Withdrawal (see WARNINGS • Hypoglycemia (see WARNINGS The following adverse reactions associated with the use of methadone were identified in clinical studies or post-marketing reports. Because some of these reactions were reported voluntarily from a population of uncertain size, it is not always possible to reliably estimate their frequency or establish a causal relationship to drug exposure. The major hazards of methadone are respiratory depression and, to a lesser degree, systemic hypotension. Respiratory arrest, shock, cardiac arrest, and death have occurred. The most frequently observed adverse reactions include lightheadedness, d","Mechanism of Action Methadone hydrochloride is a mu-agonist; a synthetic opioid analgesic with multiple actions qualitatively similar to those of morphine, the most prominent of which involve the central nervous system and organs composed of smooth muscle. Some data also indicate that methadone acts as an antagonist at the N-methyl-D-aspartate (NMDA) receptor."
methamphetamine,DESOXYN,Central Nervous System Stimulant,"Cardiac Disease Increased Blood Pressure and Heart Rate Psychiatric Adverse Reactions Long-Term Suppression of Growth in Pediatric Patients Peripheral Vasculopathy, including Raynaud’s Phenomenon Seizures see Warnings and Precautions Serotonin Syndrome Motor and Verbal Tics, and Worsening of Tourette’s Syndrome The following adverse reactions associated with the use of methamphetamine were identified in clinical trials or postmarketing reports. Because these reactions were reported voluntarily from a population of uncertain size, it is not always possible to reliably estimate their frequency or establish a causal relationship to drug exposure. Cardiovascular Elevation of blood pressure, tachycardia and palpitation. Fatal cardiorespiratory arrest has been reported, mostly in the context of abuse/misuse Central Nervous System Psychotic episodes reported at recommended doses. Dizziness, dysphoria, overstimulation, euphoria, insomnia, tremor, restlessness and headache. Exacerbation of moto",Amphetamines are non-catecholamine sympathomimetic amines with CNS stimulant activity. The exact mode of therapeutic action in the treatment of ADHD is not known.
methohexital,BREVITAL,Barbiturate,"vascular collapse, and convulsions in association with cardiorespiratory arrest. Respiratory Respiratory depression (including apnea), cardiorespiratory arrest, laryngospasm, bronchospasm, hiccups, and dyspnea Neurologic Skeletal muscle hyperactivity (twitching), injury to nerves adjacent to injection site, and seizures Psychiatric Emergence delirium, restlessness, and anxiety may occur, especially in the presence of postoperative pain Gastrointestinal Nausea, emesis, abdominal pain, and liver function tests abnormal Allergic Erythema, pruritus, urticaria, and cases of anaphylaxis have been reported rarely Other Other adverse reactions include pain at injection site, salivation, headache, and rhinitis For medical advice about adverse reactions contact your medical professional. To report SUSPECTED ADVERSE REACTIONS, contact Onesource at 1-888-217-8103 or FDA at 1-800-FDA-1088 or www.fda.gov/medwatch.","Compared with thiamylal and thiopental, methohexital is at least twice as potent on a weight basis, and its duration of action is only about half as long. Although the metabolic fate of methohexital in the body is not clear, the drug does not appear to concentrate in fat depots to the extent that other barbiturate anesthetics do."
methsuximide,CELONTIN,Succinimide anticonvulsant,"Gastrointestinal System: Gastrointestinal symptoms occur frequently and have included nausea or vomiting, anorexia, diarrhea, weight loss, epigastric and abdominal pain, and constipation. Hemopoietic System: Hemopoietic complications associated with the administration of methsuximide have included eosinophilia, leukopenia, monocytosis, and pancytopenia with or without bone marrow suppression. Nervous System Neurologic and sensory reactions reported during therapy with methsuximide have included drowsiness, ataxia or dizziness, irritability and nervousness, headache, blurred vision, photophobia, hiccups, and insomnia. Drowsiness, ataxia, and dizziness have been the most frequent side effects noted. Psychologic abnormalities have included confusion, instability, mental slowness, depression, hypochondriacal behavior, and aggressiveness. There have been rare reports of psychosis, suicidal behavior, and auditory hallucinations. Integumentary System Dermatologic manifestations which have occ","Methsuximide suppresses the paroxysmal three cycle per second spike and wave activity associated with lapses of consciousness which is common in absence (petit mal) seizures. The frequency of epileptiform attacks is reduced, apparently by depression of the motor cortex and elevation of the threshold of the central nervous system to convulsive stimuli."
methylphenidate,ADHANSIA; APTENSIO,Central Nervous System Stimulant,"Cardiac Disease Increased Blood Pressure and Heart Rate Psychiatric Adverse Reactions Priapism Peripheral Vasculopathy, including Raynaud's Phenomenon Long-Term Suppression of Growth in Pediatric Patients Risks of Gastrointestinal Obstruction in Patients with Gastrointestinal Narrowing Acute Angle Closure Glaucoma Increased Intraocular Pressure and Glaucoma Motor and Verbal Tics, and Worsening of Tourette's Syndrome The most common adverse reactions (≥5%) in double-blind clinical trials were: Pediatric patients to years: upper abdominal pain. Adults up to years of age: decreased appetite, headache, dry mouth, nausea, insomnia, anxiety, dizziness, weight decreased, irritability, tachycardia, and hyperhidrosis. To report SUSPECTED ADVERSE REACTIONS, contact Janssen Pharmaceuticals, Inc. at 1-800-JANSSEN (1-800-526-7736) or FDA at 1-800-FDA-1088 or www.fda.gov/medwatch. Clinical Trial Experience The data below is based on a total of 3,906 patients in clinical studies who received CONCERTA",Methylphenidate is a central nervous system (CNS) stimulant. The mode of therapeutic action of methylphenidate in the treatment of ADHD is not known.
midazolam,NAYZILAM,Benzodiazepine,headache Local effects at IM Injection site pain induration redness muscle stiffness hiccoughs Local effects at the IV site nausea tenderness vomiting pain during injection coughing redness ‘‘oversedation’’ induration headache phlebitis drowsiness,"Drugs that inhibit the activity of cytochrome P450-3A4 may inhibit midazolam clearance and elevate steady-state midazolam concentrations. In vitro studies have demonstrated that the affinities of 1- and 4-hydroxy-midazolam for the benzodiazepine receptor are approximately 20% and 7%, respectively, relative to midazolam."
